It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"On the occasion of his 100th birthday , the book : Friedrich Hund : Geschichte der physikalischen Begriffe [ history of physics terms ] ( Heidelberg , Berlin , Oxford ) , Spektrum , Akademie Verlag 1996 , ISBN 3-8274-0083-X was published .","On the occasion of his 100th birthday , the book : Friedrich Hund : Geschichte der physikalischen Begriffe [ History of Physical Concepts ] ( Heidelberg , Berlin , Oxford ) , Spektrum , Akademie Verlag 1996 , ISBN 3-8274-0083-X was published ."
It is a powerful oxidizing agent .,Chloric acid is a powerful oxidizing agent .
"They are rare even in parts of their core range ; both in Great Britain and North America for example , only one species is found – the Twenty-plume Moth ( `` Alucita hexadactyla '' ) – and in America , it is introduced .","But they are rare even in parts of their core range ; both in Great Britain and North America for example , only one species is found – the twenty-plume moth ( `` Alucita hexadactyla '' ) – and in the latter region , it is introduced ."
"Most of the pages were reproduced in black-and-white photographs , and the edition also had 48 colour reproductions , including all of the full-page decorations .","The majority of the pages were reproduced in black-and-white photographs , but the edition also featured forty-eight colour reproductions , including all the full-page decorations ."
"Percy LeBaron Spencer ( July 9 , 1894 – September 8 , 1970 ) was an American engineer and inventor .","Percy Lebaron Spencer ( July 19 , 1894 – September 8 , 1969 ) was an American physicist and inventor ."
Wilson and his colleagues identified the fossil remains of an ant ( `` Sphecomyrma freyi '' ) from the Cretaceous period .,"In 1966 , E. O. Wilson and his colleagues identified the fossil remains of an ant ( `` Sphecomyrma '' ) that lived in the Cretaceous period ."
It was released on 7 November 2000 by record label Nettwerk in North America .,It was released on 3 June 2011 .
"The chromosphere , transition region , and corona are much hotter than the outer photosphere surface of the Sun .","The chromosphere , transition region , and corona are much hotter than the surface of the Sun ."
"The radius of the visible universe , is about 14.0 billion parsecs ( about 45.7 billion light years ) , while the comoving distance to the edge of the observable universe is about 14.3 billion parsecs ( about 46.6 billion light years ) , about 2 % larger .",The comoving distance from Earth to the edge of the observable universe is about 14.26 gigaparsecs ( 46.5 billion light years or ) in any direction .
Their technique was used for high precision measurement of the electron g-factor .,Their technique was used for high precision measurement of the electron magnetic moment .
"He became director of the Carnegie Institution in 1962 and was awarded the Nobel Prize in Physiology or Medicine in 1969 , shared with Luria and Delbrück for their discovery on the replication of viruses and their genetic structure .","He became director of the Carnegie Institution in 1962 and was awarded the Nobel Prize in Physiology or Medicine in 1969 , shared with Salvador Luria and Max Delbrück for their discovery on the replication of viruses and their genetic structure ."
"In 1856 , William Henry Perkin , then 18 , was given a challenge by his professor to synthesize quinine .","In 1856 , William Henry Perkin , then age 18 , was given a challenge by his professor , August Wilhelm von Hofmann , to synthesize quinine ."
The specimen was probably not fully grown at the time of its death .,The holotype specimen was likely not fully grown at the time of its death .
The Angolan African Dormouse ( `` Graphiurus angolensis '' ) is a species of rodent in the Gliridae family .,The Angolan African dormouse ( `` Graphiurus angolensis '' ) is a species of rodent in the family Gliridae .
"At that period , for the first time , deciduous plants were flourishing and annually shedding leaves into the water , attracting small prey into warm oxygen-poor shallows which were difficult for larger fish to swim in .","At that period , for the first time , deciduous plants were flourishing and annually shedding leaves into the water , attracting small prey into warm oxygen-poor shallows that were difficult for larger fish to swim in ."
"However , Richardson and Palmer ( 2007 ) state : `` Horizontal gene transfer ( HGT ) has played a major role in bacterial evolution and is fairly common in certain unicellular eukaryotes .",Richardson and Palmer ( 2007 ) state : `` Horizontal gene transfer ( HGT ) has played a major role in bacterial evolution and is fairly common in certain unicellular eukaryotes .
Raman 's father initially taught in a local school in Thiruvanaikaval and later became a lecturer of mathematics and physics in Mrs. A.V .,"Raman 's father initially taught in a school in Thiruvanaikaval , became a lecturer of mathematics and physics in Mrs. A.V ."
They also meet a Frenchwoman who has been on the island for 16 years and find a metal hatch ( door ) buried in the ground .,They also find a mysterious metal hatch buried in the ground .
"The United States presidential election of 1992 was on November 3 , 1992 in the United States .","It was held on Tuesday , November 3 , 1992 ."
"Notable galaxy clusters in the distant , high-redshift universe include SPT-CL J0546-5345 , the most massive galaxy cluster ever found in the early universe .","Notable galaxy clusters in the distant , high-redshift Universe include SPT-CL J0546-5345 and SPT-CL J2106-5844 , the most massive galaxy clusters found in the early Universe ."
"Morchella , the true morels , is a genus of edible mushrooms closely related to the cup fungi .","Morchella , the true morels , is a genus of edible mushrooms closely related to anatomically simpler cup fungi ."
"The filaments earlier reported in Ornithischia , on `` Psittacosaurus '' and `` Tianyulong '' , could be homologous to the `` protofeathers '' found in non-avian theropods .","concluded that the filaments earlier reported in Ornithischia , with `` Psittacosaurus '' and `` Tianyulong '' , could be homologous to the `` protofeathers '' found in non-avian theropods ."
"Goodall’s research at Gombe Stream challenged two long-standing beliefs of the day : that only humans could build and use tools , and that chimpanzees were vegetarians .","Goodall 's research at Gombe Stream is best known to the scientific community for challenging two long-standing beliefs of the day : that only humans could construct and use tools , and that chimpanzees were vegetarians ."
"In the 18th century , Pierre Louis Maupertuis made experiments with scorpion venom and saw that certain dogs and mice were immune to this venom .","In the 18th century , Pierre-Louis Moreau de Maupertuis made experiments with scorpion venom and observed that certain dogs and mice were immune to this venom ."
"H , Li , B , B , N , N , O , F , Na , Si , P , Cl , Cd , Xe , Pt ) have been studied by high-field NMR spectroscopy as well .",", , , , , , , , , , , , , , ) have been studied by high-field NMR spectroscopy as well ."
"With 18 % market share of all plastic materials produced , it is third after polyethylene ( 33.5 % ) and polypropylene ( 19.5 % ) .","With 18 % market share of all plastic materials produced , it ranges third after polyethylene ( 33.5 % ) and polypropylene ( 19.5 % ) ."
"It was found by the Canada–France–Hawaii Telescope , and it is a dwarf galaxy .","It was discovered by the Canada–France–Hawaii Telescope , and is thought to be a dwarf galaxy ."
The fossil record of the trogons dates back 49 million years to the mid-Eocene .,The fossil record of the trogons dates back 49 million years to the Early Eocene .
It is a process by which methyl groups are added to DNA .,DNA methylation is a process by which methyl groups are added to DNA .
"Hans Ferdinand Linskens ( Lahr , Germany , May 22 , 1921-August 13 , 2007 ) was a German scientist .","Hans Ferdinand Linskens ( Lahr , Germany , May 22 , 1921 – August 13 , 2007 ) was a German botanist and geneticist ."
He held a Burnet Fellowship at the University of Western Australia from 1998-2003 .,He held a Burnet Fellowship at the University of Western Australia ( UWA ) from 1998–2003 .
"Yersinia is a bacterium in the large family of bacteria , Enterobacteriaceae .",Yersinia is a genus of bacteria in the family Enterobacteriaceae .
"Scaptia beyonceae is a species of horse fly found in north-east Queensland , Australia .","Scaptia beyonceae is a species of horse fly found in the Atherton Tablelands in north-east Queensland , Australia ."
"In the 1980s , many changes took place .","In the 1980s , many changes were taking place ."
"In the locality of Punta Falcone there is an astronomical observatory , built in 1976 .","In the locality of Punta Falcone is an astronomical observatory , created in 1976 ."
BVI makes an inference as to the body 's distribution of fat and weight using complex and detailed Body Composition data .,"BVI makes an inference as to the body 's distribution of weight and the distribution of muscle and fat , using complex and detailed Body Composition data ."
"Penicillin was discovered by Scottish scientist Sir Alexander Fleming in 1928 , but it was not mass-produced until the 1940s .",Penicillin was discovered in 1928 by Scottish scientist Alexander Fleming .
"In 1929 , she was given a gold medal by the National Institute of Social Science .","In 1929 , she was awarded a gold medal by the National Institute of Social Science ."
Hundreds of enzymes thus require magnesium ions to function .,Hundreds of enzymes require magnesium ions to function .
"The following year it went to the U.S. , and it sold 70,000 copies .","The following year , it launched in the US , and sold 70,000 copies ."
"In addition , X-ray observations have revealed the presence of a strange X-ray pulsar , a slow rotating neutron star that must have formed from a high-mass progenitor star .","In addition , X-ray observations have revealed the presence of the anomalous X-ray pulsar CXO J164710.2-455216 , a slow rotating neutron star that must have formed from a high-mass progenitor star ."
"This new spot , called the Northern Great Dark Spot ( NGDS ) , has remained able to be seen for several years .","This new spot , called the Northern Great Dark Spot ( NGDS ) , has remained visible for several years ."
It was released as a full-length movie in 1995 .,It was released as a feature film in 1995 .
"There at least 4,500 described species , and certainly thousands still to be described .","At least 4,500 species are described , and certainly thousands yet remain to be described ."
The light causes a change in a protein called rhodopsin .,The light causes a conformational change in a protein called rhodopsin .
"Many organs can be used , and many lives can be saved by one body .","Many organs can be extracted , and many lives can be saved by one body ."
"Saturnalia is an extinct genus of basal prosauropod dinosaur from the Triassic of Rio Grande do Sul , southern Brazil .","Saturnalia is an extinct genus of basal sauropodomorph dinosaur known from the Triassic of Rio Grande do Sul , southern Brazil ."
"It is the closest `` big '' asteroid : no asteroid closer to the Sun has a diameter above 25 kilometres or two-elevenths that of Flora itself , and not until the tiny 149 Medusa was found was a single asteroid orbiting at a closer mean distance known .","It is the innermost `` large '' asteroid : no asteroid closer to the Sun has a diameter above 25 kilometres or two-elevenths that of Flora itself , and not until the tiny 149 Medusa was discovered was a single asteroid orbiting at a closer mean distance known ."
"It was discovered by the fly geneticist Alfred Sturtevant in 1919 , when he noticed that the flies used in Thomas Hunt Morgan 's laboratory at the Columbia University were actually two distinct species : `` D. melanogaster '' and `` D. simulans '' .","This species was discovered by the fly geneticist Alfred Sturtevant in 1919 , when he noticed that the flies used in Thomas Hunt Morgan 's laboratory at the Columbia University were actually two distinct species : `` D. melanogaster '' and `` D. simulans '' ."
"Thebe or ' , is the fourth of Jupiter 's known moons ( by distance from the planet ) .","Thebe ( ; ) also known as , is the fourth of Jupiter 's moons by distance from the planet ."
"Six volumes were planned , but only the first two were ever completed .","Of the six planned volumes , only the first two were ever completed ."
"Extinct relatives of the nautilus include ammonites , which were very important for many millions of years .","Extinct relatives of the nautilus include ammonites , such as the baculites and goniatites ."
"Most flare stars are dim red dwarfs , although research done not too long ago suggests that less massive ( lighter ) brown dwarfs might also be able to flare .","Most flare stars are dim red dwarfs , although recent research indicates that less massive brown dwarfs might also be capable of flaring ."
TLR 4 function as a lipopolysaccharide ( LPS ) sensing receptor was discovered by Bruce A. Beutler and colleagues .,TLR 4 function as an LPS sensing receptor was discovered by Bruce A. Beutler and colleagues .
The incubation period ( the time between an infectionm and the first signs of the disease ) is 9–10 days .,The incubation period is 9 to 10 days .
Killer whales are the moose 's only known marine predator as they have been known to prey on moose swimming between islands out of North America 's Northwest Coast .,Killer whales ( `` Orcinus orca '' ) are the moose 's only known marine predator as they have been known to prey on moose swimming between islands out of North America 's Northwest Coast .
It also has one of the slowest rotation periods of the known asteroids — most asteroids have a rotation period in the range of 2 – 24 hours .,It also has one of the slowest rotation periods of the known asteroids—most asteroids have a rotation period in the range of 2–24 hours .
"At some date between 1937 and 1955 , three parakeets looking like this sort of bird were seen and recorded on videotape in the Okefenokee Swamp of Georgia .","In 1937 , three parakeets resembling this species were sighted and filmed in the Okefenokee Swamp of Georgia ."
"During the '70s , Phelps and Calvo worked on research for making contracts using asymmetric information .","During the '70s , Phelps and Calvo also collaborated on research regarding optimal contracts under asymmetric information ."
"This metal can be made by reacting lithium , lithium hydroxide , lithium oxide , or lithium carbonate with nitric acid .",It is made by reacting lithium carbonate or lithium hydroxide with nitric acid .
The observed red supergiants with the mass of about 16–20 solar masses will become type II supernovas .,The observed red supergiants with the mass of about 16–20 solar masses are type II supernova progenitors .
"Boris Yefimovich Nemtsov ( ; 9 October 195927 February 2015 ) was a Russian scientist , statesman and liberal politician .","Boris Yefimovich Nemtsov ( ; 9 October 1959 , Sochi27 February 2015 , Moscow ) was a Russian physicist , statesman and liberal politician ."
"Benzer realized that by generating many r mutants and recording the recombination frequency between different r strains , he could make a detailed map of the gene , much as Alfred Sturtevant had done for chromosomes .","Benzer realized that by generating many `` r '' mutants and recording the recombination frequency between different `` r '' strains , one could create a detailed map of the gene , much as Alfred Sturtevant had done for chromosomes ."
"This luminous barrage , which may last nearly 10 minutes , is presumably meant to daze would-be predators and allow the Vampire Squid to disappear into the blackness without the need to swim far .","This luminous barrage , which may last nearly 10 minutes , would presumably serve to daze would-be predators and allow the vampire squid to disappear into the blackness without the need to swim far ."
"From 2002 until her death , Lieberman worked for the Smithsonian Institution , most recently as Senior Advisor and Assistant to the Secretary for external relations .","From 2002-2015 , Lieberman worked for the Smithsonian Institution , most recently as Senior Advisor and Assistant to the Secretary for external relations ."
Science-based interpretation of lines and colours influenced neo-impressionists’ characterization of their own contemporary art .,Science-based interpretation of lines and colors influenced Neo-Impressionists ' characterization of their own contemporary art .
"The Purple frog , Nasikabatrachus sahyadrensis , is a frog species in the family Sooglossidae .",Nasikabatrachus sahyadrensis is a frog species belonging to the family Sooglossidae .
"It was specially built for this project `` 4 to 8 times as powerful as conventional systems , enabling imaging of human neuroanatomy with much greater sensitivity than is currently possible '' .","The new scanner built at the MGH Martinos Center for this project is `` 4 to 8 times as powerful as conventional systems , enabling imaging of human neuroanatomy with greater sensitivity than was previously possible . ''"
It is a mutual relationship because the rhizobium bacteria provides the plant with beneficial compounds and in return the plant provides the rhizobium with compounds needed for photosynthesis .,The plant in turn provides the bacteria with organic compounds made by photosynthesis .
"Most are marine plankton , but they are common in fresh water habitats as well .","Most are marine plankton , but they are common in freshwater habitats , as well ."
"By combining many such measurements , a best fit value for the light time per unit distance is obtained .","By combining many such measurements , a best fit value for the light time per unit distance could be obtained ."
"DNA was first isolated ( extracted from cells ) by Swiss physician Friedrich Miescher in 1869 , when he was working on bacteria from the pus in surgical bandages .",DNA was first isolated by Friedrich Miescher in 1869 .
"After he earned his PhD , he worked at Brown University from 1930 to 1931 .",Snell earned his PhD from Harvard in 1930 .
This h is a number called Planck 's constant after its discoverer .,where `` h '' is Planck 's constant .
As cladistic understanding of the vertebrates has improved over the last few decades a monophyletic Rhipidistia is now understood to include the ancestor of the whole Tetrapoda .,However as cladistic understanding of the vertebrates has improved over the last few decades a monophyletic Rhipidistia is now understood to include the whole of Tetrapoda and of the extant lungfishes .
He was the first Greek whose quantitative and accurate models for the motion of the Sun and Moon survive .,He was the first whose quantitative and accurate models for the motion of the Sun and Moon survive .
"It was found by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2003 , getting the designation ' .","It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2003 , receiving the temporary designation ' ."
"She wrote down and detailed everything about the moon , the way the moon looked .",She wrote down and detailed every aspect of the way the moon looked .
"`` Seisometers '' record motions in three cartesian axes ( x , y , and z ) , with the z axis perpendicular to the Earth 's surface and the x- and y- axes parallel to the surface .","Seismograms typically record motions in three cartesian axes ( x , y , and z ) , with the z axis perpendicular to the Earth 's surface and the x- and y- axes parallel to the surface ."
He was awarded his PhD at Harvard in 1990 .,Mello completed his Ph.D. at Harvard in 1990 .
Masiakasaurus was a small predatory theropod dinosaur from the Late Cretaceous of Madagascar .,Masiakasaurus is a genus of small predatory theropod dinosaurs from the Late Cretaceous of Madagascar .
This will stimulate new modelling and laboratory studies which will increase scientific understanding to a point where the observations can be explained .,This will stimulate new modelling and laboratory studies which will increase our scientific understanding to a point where the observations can be explained .
"There are 19 different species of stork , in 6 genera .",There are nineteen living species of storks in six genera .
"By November 2000 , only two full articles had been published .","By November 2000 , however , only two full-length articles had been published ."
"One insular species , the Giant Hoopoe of Saint Helena , is recently extinct , and the Madagascar subspecies of the Hoopoe is sometimes elevated to a full species .","One insular species , the Saint Helena hoopoe , is extinct , and the Madagascar subspecies of the hoopoe is sometimes elevated to a full species ."
"Because of the success of the cover versions , the official release of Katy Perry 's version was brought forward from September 1 to July 30 , 2008 .","Because of the success of the cover versions , the official release of Perry 's version was brought forward from September 1 to July 30 , 2008 ."
"Heck was awarded the Nobel Prize in Chemistry on October 6 , 2010 , with the Japanese chemists Ei-ichi Negishi and Akira Suzuki , for their work in palladium-catalyzed coupling reactions in organic synthesis .",He shared the 2010 Nobel Prize with Ei-ichi Negishi and Akira Suzuki `` for palladium-catalyzed cross couplings in organic synthesis . ''
Epsilon Geminid meteors move faster than Orionids .,Epsilon Geminid meteors have a higher velocity than Orionids .
"Genome analysis allows scientists to test theories about the origin and dispersal of populations , such as island species .","This development allowed scientists to test theories about the origin and dispersal of populations , such as island endemics ."
"The Irish Elk got to a mass of about , with large specimens having weighed or more , roughly similar to the Alaskan Moose .","The Irish elk is estimated to have attained a total mass of , with large specimens having weighed or more , roughly similar to the Alaskan Moose ."
"Although we are only starting to learn about them , they were apparently one of the main groups of predatory dinosaurs in Asia .","Although we are only starting to learn about them , the long-snouted tyrannosaurs were apparently one of the main groups of predatory dinosaurs in Asia . ''"
"Dr. Sally Kristen Ride ( May 26 , 1951 – July 23 , 2012 ) was an American astronaut and astrophysicist .","Sally Kristen Ride ( May 26 , 1951 – July 23 , 2012 ) was an American physicist and astronaut ."
"Hoverflies , sometimes called 'flower flies ' or 'syrphid flies ' , are the insect family Syrphidae .","Hoverflies , sometimes called flower flies , or syrphid flies , make up the insect family Syrphidae ."
Nickel ( II ) sulfate is used to make other nickel compounds .,Nickel sulfate is used in the laboratory .
It was partially funded by the Swiss Government .,The experiment was partially funded by the Swiss Government .
She was on the cover of the 2011 issue .,She was the cover model for the 2011 issue .
"Flare stars are give off relatively little light , but have been found as far away as 1,000 light years from Earth .","Flare stars are intrinsically faint , but have been found to distances of 1,000 light years from Earth ."
Mammalian stem cells change or differentiate into several kinds of blood cell within the bone marrow .,Mammalian stem cells differentiate into several kinds of blood cell within the bone marrow .
"Hench , Kendall and Swiss chemist Tadeus Reichstein won the 1950 Nobel Prize in Physiology or Medicine `` for their discoveries relating to the hormones of the adrenal cortex , their structure and biological effects . ''","Hench , Kendall and Swiss chemist Tadeus Reichstein were awarded the 1950 Nobel Prize in Physiology or Medicine `` for their discoveries relating to the hormones of the adrenal cortex , their structure and biological effects . ''"
"The yeast successfully competes with `` A. flavus '' for space and nutrients , ultimately limiting the growth of `` A. flavus '' .","The yeast successfully competes with `` A. flavus '' for space and nutrients , ultimately limiting its growth ."
Lead author Edward F. Kelly is Professor of Research in the Division of Perceptual Studies at the University of Virginia .,Lead author Edward F. Kelly is Professor of Research in the Division of Perceptual Studies at the University of Virginia School of Medicine .
Some former subspecies are today recognized as species due to genetic reasons .,Some former subspecies have been lately recognized as species for genetic reasons .
"To get to these models , he certainly made use of the observations and perhaps the mathematical techniques accumulated over centuries by the Chaldeans from Babylonia .",For this he certainly made use of the observations and perhaps the mathematical techniques accumulated over centuries by the Babylonians and other people from Mesopotamia .
"A material such as gold , which does not react with other chemicals at normal scales , can be a powerful chemical catalyst at nanoscales .","A material such as gold , which is chemically inert at normal scales , can serve as a potent chemical catalyst at nanoscales ."
Al-Sufi was one of the nine noted Muslim astronomers .,He was one of the famous nine Muslim astronomers .
"Brain tumors sometimes occur in malaria sufferers , which suggests that `` Anopheles '' might transmit a virus or other agent which could cause a brain tumor .",An association of brain tumor incidence and malaria suggests the `` Anopheles '' might transmit a virus or other agent that could cause a brain tumor .
Strong saw many things in Europe which inspired her to write .,Strong drew many observations while in Europe which inspired her to write .
"The entire class of Conodonts , or at least what was left of them at the time , were wiped out by the Triassic–Jurassic extinction event , which occurred roughly 200 million years ago .","The entire class of conodonts is postulated to have been wiped out in the Triassic–Jurassic extinction event , which occurred roughly 200 million years ago ."
"A thousand years ago , the water level was ten feet lower , so there were many more of the animals the island was named after .","A thousand years ago , the water level was ten feet lower , making these creatures far more abundant there ."
"`` Beauveria bassiana '' ( Hyphomycetes ) is a pathogenic fungus that infects many insects , including the Colorado beetle .","`` Beauveria bassiana '' ( Hyphomycetes ) is a pathogenic fungus that infects a wide range of insect species , including the Colorado potato beetle ."
The main western part of the lake is a bowl with a surface area of and a volume of .,The main western portion of the lake forms a moderately deep bowl with a surface area of and a volume of .
"In a starburst galaxy , the rate of star formation is so large that the galaxy will consume all of its gas reservoir , from which the stars are forming , quickly .","In a starburst galaxy , the rate of star formation is so large that the galaxy will consume all of its gas reservoir , from which the stars are forming , on a timescale much shorter than the age of the galaxy ."
A possible shoreline was also identified at the pole in radar images .,A possible shoreline was also identified near the pole via radar imagery .
"Here , Köhler observed how chimpanzees solved problems , such as that of retrieving bananas when placed out of their reach .","In this research , Köhler observed how chimpanzees solve problems , such as that of retrieving bananas when positioned out of reach ."
"After obtaining his PhD degree , Iqbal worked as a post-doctoral researcher at California Institute of Technology ( Caltech ) .","After obtaining his PhD degree , Iqbal worked as a post-doctoral researcher at California Institute of Technology ( Caltech ) from 1983 to 1988 ."
"In Sumatra , they appear to live more in hilly , montane areas .","In Sumatra , they appear to be more abundant in hilly , montane areas ."
"By varying the ratio of graphite to clay , the hardness of the graphite rod could also be varied ( the more clay , the harder the pencil , and the lighter the color of the mark ) .","By varying the ratio of graphite to clay , the hardness of the graphite rod could also be varied ."
"They wrote that the reaction of 1,2-dimethylidenecyclohexane with sulfur dioxide can give two different products depending on reaction conditions .","An interesting point presented in this paper is that the reaction of 1,2-dimethylidenecyclohexane with sulfur dioxide can give two different products depending on reaction conditions ."
A `` system '' is the specific section of the universe that is being studied .,A system is the specific portion of the universe that is being studied .
"Species nesting in areas with cold winters are strongly migratory , while subtropical and tropical species are more sedentary ( do not migrate .","Species nesting in areas with cold winters are strongly migratory , while subtropical and tropical species are more sedentary ."
"Cellular division occurs along a single axis in these bacteria , and thus they grow in chains or pairs , hence the name from Greek στρεπτος `` streptos '' , meaning easily bent or twisted , like a chain ( twisted chain ) .","Cell division in this genus occurs along a single axis in these bacteria , thus they grow in chains or pairs , hence the name—from Greek στρεπτός `` streptos '' , meaning easily bent or twisted , like a chain ( twisted chain ) ."
He helped edit the paper `` Università popolare '' in Milan.Fabbri was a delegate to the International Anarchist Congress held in Amsterdam in 1907 .,He helped edit the paper `` Università popolare '' in Milan .
"Chemists use various reaction types to these to synthesize the product , or an intermediate product .","Various reaction types can be applied to these to synthesize the product , or an intermediate product ."
"Judging from numerous fossil findings , `` Presbyornis '' probably lived in colonies around shallow lakes .","Judging from numerous fossil findings , `` Presbyornis '' is presumed to have lived in colonies around shallow lakes ."
Galatea was found in late July 1989 from the images taken by the `` Voyager 2 '' probe .,Galatea was discovered in late July 1989 from the images taken by the `` Voyager 2 '' probe .
"The bucket-wheel itself can be over 70 feet in diameter with as many as 20 buckets , each of which can hold over 15 cubic metres of material .","The bucket-wheel itself can be over in diameter with as many as 20 buckets , each of which can hold over 15 cubic metres of material ."
"Augustana ranks among the top forty U.S. liberal arts colleges in the sciences , based on the number of graduates earning Ph.D.s .","Augustana ranks among the top 40 U.S. liberal arts colleges in the sciences , based on the number of graduates earning Ph.D.s ."
This was the first time that evidence of water had been found on a comet .,This was the first time that a comet was visited twice .
"The direct current always flow in the same direction , distinguishing it from the alternating current ( AC ) .","The electric current flows in a constant direction , distinguishing it from alternating current ( AC ) ."
"Nearly all chimpanzee populations have been recorded using tools , modifying sticks , rocks , grass , and leaves and use them for acquiring honey , termites , ants , nuts , and water .",Nearly all chimpanzee populations have been recorded using tools .
Over the last decade there have been indications that the volcano is slowly building up for a new eruption .,Over the last decade there have been a number of indications that the volcano is slowly building up towards a new eruption .
"One study suggests that `` Deinosuchus '' may have lived for up to 50 years , growing at a similar rate to that of modern crocodilians , but growing for a much longer period .","One study indicated `` Deinosuchus '' may have lived for up to 50 years , growing at a rate similar to that of modern crocodilians , but maintaining this growth over a much longer time ."
"After four injections , he found that there was swelling and that the mixture was absorbed slowly .","After four injections , he found that there was edema and that the serum was absorbed slowly ."
"The actual source for perturbation is still unclear , but is probably one or more of the nearby orbiting moons .","The actual source for perturbation is still unclear , but is presumed to be one or more of the nearby orbiting moons ."
The species `` Agilodocodon scansorius '' was reported in the journal `` Science '' in 2015 .,The type species `` Agilodocodon scansorius '' was named and described in the journal `` Science '' in 2015 .
"For several years , in addition to his laboratory work , he studied to specialize in steel production techniques and related chemical analysis methods .","For several years , in addition to his laboratory work , he studied at home and later in formal evening classes , to specialize in steel production techniques and associated chemical analysis methods ."
"John Maynard Smith , FRS ( 6 January 1920 – 19 April 2004 ) was a British theoretical evolutionary biologist and geneticist .",John Maynard Smith ( 6 January 1920 – 19 April 2004 ) was a British theoretical evolutionary biologist and geneticist .
The spotted hyena is the largest member of the Hyaenidae .,The spotted hyena is the most carnivorous member of the Hyaenidae .
"Thomas Jefferson National Accelerator Facility ( TJNAF ) , commonly called Jefferson Lab or JLab , is a U.S. national laboratory in Newport News , Virginia .","Thomas Jefferson National Accelerator Facility ( TJNAF ) , commonly called Jefferson Lab or JLab , is a U.S. national laboratory located in Newport News , Virginia ."
Cell reproduction is more complex in eukaryotes than in other organisms .,Cell division is more complex in eukaryotes than in other organisms .
"The six of them were studied by staff at the American Museum of Natural History , which was given custody of them .","The six Inuit were studied by staff of the American Museum of Natural History , which had custody ."
Suttungr may have formed from debris knocked off of Phoebe at some point in the past .,It may have formed from debris knocked off of Phoebe .
"As a chenopod , quinoa is closely related to species such as beets , spinach , and tumbleweeds .","As a chenopod , quinoa is closely related to species such as beetroots , spinach and tumbleweeds ."
`` Dilophosaurus '' has been examined several times over the years and has been put into no less than nine different theropod groups .,`` Dilophosaurus '' has been examined several times over the years and has been assigned to no less than nine different theropod groups .
This move freed Morgan to focus fully on experimental work .,This move freed him to focus fully on experimental work .
Elephants are the largest living land mammals .,Elephants are the largest living terrestrial animals .
"Even in the lamprey ( one of the most primitive vertebrates ) striatal , pallidal , and nigral elements can be identified by their anatomy and histochemistry .","Even in the lamprey ( generally considered one of the most primitive of vertebrates ) , striatal , pallidal , and nigral elements can be identified on the basis of anatomy and histochemistry ."
More recent genomics suggests that Afrotheria and Xenarthra are sister taxa at the base of the placental mammal radiation .,"More recent , genomic-scale phylogenies favor the hypothesis that Afrotheria and Xenarthra comprise sister taxa at the base of the placental mammal radiation ."
"Evidence of original colouration has been found in cephalopod fossils as far back as the Silurian ; certain straight-shelled species had lines round their shell , which are thought to have used as camouflage of their body outline .","Evidence of original coloration has been detected in cephalopod fossils dating as far back as the Silurian ; these orthoconic individuals bore concentric stripes , which are thought to have served as camouflage ."
"Honeycrisp ( `` Malus domestica '' 'Honeycrisp ' ) is an apple cultivar that was made at the Minnesota Agricultural Experiment Station 's Horticultural Research Center at the University of Minnesota , Twin Cities .","Honeycrisp ( `` Malus domestica '' 'Honeycrisp ' ) is an apple cultivar ( cultivated variety ) developed at the Minnesota Agricultural Experiment Station 's Horticultural Research Center at the University of Minnesota , Twin Cities ."
"All species of `` Psittacosaurus '' were gazelle-sized bipedal herbivores with a high , powerful beak on the upper jaw .","The species of `` Psittacosaurus '' were obligate bipeds at adulthood , with a high skull and a robust beak ."
"If a pattern is found that is not known in the diffraction data libraries an attempt can be made to index the pattern , that is to identify the symmetry and the size of the unit cell .",to identify the symmetry and the size of the unit cell .
"Thallium ( I ) carbonate , also known as thallous carbonate , is a chemical compound .",Thallium ( I ) carbonate ( TlCO ) is a chemical compound .
"In addition to its civilian employees , NOAA research and operations are supported by 300 uniformed service members who make up the NOAA Corps .","In addition to its civilian employees , 12,000 as of 2012 , NOAA research and operations are supported by 300 uniformed service members who make up the NOAA Commissioned Officer Corps ."
The past record of geomagnetic reversals was first noticed by observing the magnetic stripe reversals on the ocean floor .,The past record of geomagnetic reversals was first noticed by observing the magnetic stripe `` anomalies '' on the ocean floor .
"Joel Hastings Metcalf ( January 4 , 1866–February 23 , 1925 ) was an American astronomer .","Joel Hastings Metcalf ( January 4 , 1866 – February 23 , 1925 ) was an American astronomer , humanitarian and minister ."
The experiment was suggested by by a Swiss team headed by Johannes Geiss of the University of Bern and Peter Eberhardt of the Swiss Institute of Technology .,The SWC was proposed and designed by a Swiss team headed by Johannes Geiss of the University of Bern and Peter Eberhardt of the Swiss Institute of Technology .
"She continued to investigate the problem and identified a new element that she called `` Suppressor-mutator '' ( `` Spm '' ) , which , although similar to `` Ac/Ds '' , displays more complex behavior .","She continued to investigate the problem and identified a new element that she called `` Suppressor-mutator '' ( `` Spm '' ) , which , although similar to `` Ac/Ds '' , acts in a more complex manner ."
