The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
No athletes from Mauritania have been in any Winter Olympic Games .,No athletes from Mauritania have competed in any Winter Olympic Games .
The hour record for bicycles is the record for the longest distance cycled in one hour on a bicycle .,The hour record is the record for the longest distance cycled in one hour on a bicycle from a stationary start .
"November to Remember 1994 took place on November 5 , 1994 at the ECW Arena in Philadelphia , Pennsylvania .","November to Remember 1994 was a live event that took place on November 5 , 1994 in the ECW Arena in Philadelphia , Pennsylvania , US ."
Sid Smith • Milt Schmidt • Maurice Richard,Doug Bentley • Milt Schmidt • Maurice Richard
They are part of the Pakistan Hockey Federation .,It is part of the Pakistan Hockey Federation .
"A shoulder block is where a wrestler hits their opponent with their shoulder by usually ramming their shoulder , keeping their arm to their side and into either the opponent 's shoulder or abdomen of an opponent that is running towards them .",The chop block is a shoulder block that targets the back of an opponent 's knee .
"The team plays in the Austrian First League , the second highest league in Austrian football .","The team currently competes in the Austrian Bundesliga , the highest league in Austrian football ."
Allison was drafted with the 44th overall pick by the Calgary Flames in the 1993 NHL Entry Draft .,He was drafted by the Calgary Flames 44th overall in the 1993 NHL Entry Draft .
He was invited on `` The Ellen DeGeneres Show '' after he sent her a video of a golf trick shot he made for her birthday .,He was invited on `` The Ellen DeGeneres Show '' after he sent her a video of a golf trick shot he completed for her birthday .
Michel Goulet • Wayne Gretzky • Cam Neely,Adam Graves • Wayne Gretzky • Cam Neely
The Frauen-Bundesliga ( English : Women Bundesliga ) is the main women 's association football league competition in Germany .,The Frauen-Bundesliga ( English : Women Bundesliga ) is the main league competition for women 's football ( soccer ) in Germany .
The town hall and the Great Hall at the University of Leeds are the venues for the Leeds International Pianoforte Competition .,It is the setting for the Leeds International Pianoforte Competition .
"He is best known for his time wrestling for the WWF/WWE.During his career in WWF/E , Morley has held the Intercontinental Championship twice , European Championship once and World Tag Team Championship once with Lance Storm .","During his career in WWF/E , Morley held the Intercontinental Championship twice , the European Championship once , and the World Tag Team Championship once with Lance Storm ."
Cena won the match and kept the WWE Championship after pinning Foley following an FU .,Cena won the match and retained the WWE Championship after pinning Foley following an FU .
"At the end of the 2004–05 NBA season , he became a free agent .","At the end of the 2004–05 season , Abdur-Rahim became a free agent ."
He currently plays for the San Jose Sharks of the National Hockey League ( NHL ) .,He last played for the Malmö Redhawks of the Swedish Hockey League ( SHL ) .
"After André collected his prize money , he threw some of it into the audience .","After André collected his prize money , he started throwing the money out to the audience ."
He also wrote about pigeon-racing for the `` Derby Evening Telegraph '' .,He also wrote on pigeon-racing matters for the `` Derby Evening Telegraph '' .
"His father was NHL Hall of Famer , Charlie Conacher .","He is the son of NHL Hall of Famer , Charlie Conacher ."
"218 of the player inductees are Canadian-born , while only 10 European-born players have been added .","232 of the player inductees are Canadian-born , while 16 European-born players have been inducted ."
"In the same year , he competed in the 2nd CZW Tournament of Death where he lost to Nick Mondo in a deathmatch involving light tubes , and the 5th IWA Mid-South King of the Deathmatch where he lost to Mad Man Pondo after defeating 2 Tuff Tony , Necro Butcher and Ian Rotten .","The following month , he competed in the second annual CZW Tournament of Death where he lost to Nick Mondo in a deathmatch involving light tubes ."
The two teams then played a two game total goals series for the NHL championship and the O'Brien Cup .,The two teams then played a two game total goals series for the NHL championship .
"Juan Martín del Potro beat Roger Federer , 3–6 , 7–6 ( 5 ) , 4–6 , 7–6 ( 4 ) , 6–2","Juan Martín del Potro defeated Roger Federer , 3–6 , 7–6 , 4–6 , 7–6 , 6–2"
"Colac also has a baseball club , the Colac Braves , which plays in the Geelong Baseball Association winter competition and the Pan Pacific Masters Games on the Gold Coast .","Colac has a baseball club , the Colac Braves , a team which competes in the Geelong Baseball Association winter competition and the Pan-Pacific Masters Games on the Gold Coast ."
"Carter Hutton ( born December 19 , 1985 , in Thunder Bay , Ontario ) is a Canadian ice hockey goaltender that is currently signed to the Nashville Predators of the National Hockey League .",He is currently under contract with the Nashville Predators of the National Hockey League ( NHL ) .
For seven seasons in a row Morenz led the Canadiens in both goals scored and points .,"For seven straight seasons , Morenz led the Canadiens in both goals scored and points ."
"Club Social y Deportivo Dorados de Sinaloa , or simply Dorados , is a Mexican professional football club from Culiacán , Sinaloa .","Club Social y Deportivo Dorados de Sinaloa , or simply Dorados , is a Mexican professional football club based in the city of Culiacán ."
The club is owned and sponsored by the mining company Dempo .,The club is owned and sponsored by the Dempo group of companies .
"The main feud for the ECW brand was between the ECW Champion , CM Punk , and Big Daddy V. The buildup began when General Manager Armando Estrada announced an `` Elimination Chase to No Mercy '' , involving Elijah Burke , Tommy Dreamer , Kevin Thorn , and Stevie Richards .","This rivalry began when ECW authority figure Armando Estrada announced an `` Elimination Chase to No Mercy '' , involving Elijah Burke , Tommy Dreamer , Kevin Thorn , and Stevie Richards ."
"Much of the band 's music style is influenced by European metal , and Swedish death metal .","Much of the band is influenced by European metal , particularly Swedish death metal ."
Mansell passed Berger on lap 57 and soon passed Prost on his new tyres .,Boutsen passed Berger on lap 2 .
"Later on , each team played the others three times .",Each team plays the other three times .
Ice hockey tournaments have been played at the Olympic Games since 1920 .,Ice hockey tournaments have been staged at the Olympic Games since 1920 .
"In baseball , a player hits for the cycle when they hit a single , a double , a triple , and a home run in the same game .","In baseball , hitting for the cycle is the accomplishment of one batter hitting a single , a double , a triple , and a home run in the same game ."
"The stand was renamed in honour of Norwich City president Geoffrey Watling , who died in 2004 .","The stand was renamed in honour of Norwich City president Geoffrey Watling , who died in 2004 , aged 91 ."
The Mega Powers competed in the World Wrestling Federation ( WWF ) and in World Championship Wrestling ( WCW ) .,The Mega Powers were a tag team in the World Wrestling Federation ( WWF ) and World Championship Wrestling ( WCW ) .
"Meanwhile on `` SmackDown '' , Edge was scheduled to defend his World Heavyweight Championship against Alberto Del Rio in a ladder match at Extreme Rules after Del Rio won a number one contendership match against Christian on the April 8 edition of SmackDown .",Edge was originally scheduled to defend his World Heavyweight Championship against Alberto Del Rio in a ladder match .
"The teams have met in 5 games , including a match in the 2002 FIFA World Cup group stage which was won by the United States 3–2 .","The two teams had met in five previous matches , including in the 2002 FIFA World Cup group stage , won by the United States 3–2 ."
Tony McNamara ( 3 October 1929 – 30 May 2015 ) was an English footballer who played as a midfielder .,Tony McNamara ( 3 October 1929 – 30 May 2015 ) was an English footballer who played as a winger .
No Danish riders compete in the two other disciplines .,No Danish canoeists competed in the slalom discipline .
"Nashville , Tennessee hosted this event in 2005 and 2006 , and will continue as the host location in the future .","Nashville , Tennessee hosted this event from 2005 through 2012 ."
"As of 2011 , no athlete competing for Samoa has ever won an Olympic medal .","To date , no athlete competing for Samoa has ever won an Olympic medal ."
"The Rapids play their home games at Dick 's Sporting Goods Park in Commerce City , Colorado ( ca .",The Rapids play their home games at Dick 's Sporting Goods Park in Commerce City since its opening in the 2007 season .
"Yasuhiro Yamada ( February 13 , 1968–April 8 , 2013 ) was a Japanese football player .","Yasuhiro Yamada ( February 13 , 1968 – April 8 , 2013 ) was a Japanese football player ."
He competed in the Road Racing World Championship for 10 years from 2002 to 2011 .,He won the 250cc World Championship with Gilera in 2008 .
Steve Davis ( born 22 August 1957 in London ) is an English former professional snooker player .,"Steve Davis , ( born 22 August 1957 ) is an English former professional snooker player from Plumstead , London ."
"In 2006 , when he a 15 year old , Rodríguez was one of the most successful athletes at the Madrid Regional Outdoor Athletics Championship .","In 2006 , as a 15-year-old , Rodríguez was one of the top performers at the Madrid Regional Outdoor Athletics Championship ."
"In his return promo , Big Show threatened to give Rey Mysterio a Chokeslam .","In his return promotional interview , Big Show threatened to give Rey Mysterio a chokeslam ."
Dodd replaced Alexander in 1945 and became the third head coach at Georgia Tech .,Dodd succeeded Alexander in 1945 as the third head coach at the Institute .
"Fir Park is a football stadium in Motherwell , North Lanarkshire , Scotland .","Fir Park Stadium is a football stadium situated in Motherwell , North Lanarkshire , Scotland ."
"John Francis Cashen ( September 13 , 1925 – June 30 , 2014 ) was an American Major League Baseball general manager and writer .","John Francis `` Frank '' Cashen ( September 13 , 1925 – June 30 , 2014 ) was a Major League Baseball general manager ."
"Yochanan Vollach ( ) , also transliterated Jochanan Wallach or Yohanan Wallach , born 14 May 1945 ) is a former Israeli football player who played at : Hapoel Haifa , Maccabi Haifa , HKFC .","Yochanan Vollach ( , sometimes spelled Jochanan Wallach or Yohanan Wallach , born May 14 , 1945 ) is a former Israeli footballer ."
"On the March 1 episode of `` Raw '' , Swagger beat Santino Marella to wrestle in the Money in the Bank ladder match at WrestleMania XXVI .","On the March 5 episode of `` Raw '' , Swagger lost the United States Championship to Santino Marella ."
Lewicki would return to the Columbus Juniors the following season .,Lewicki returned to the Columbus Juniors the following season .
The following a list of professional ice hockey players who have won the Calder Memorial Trophy in the National Hockey League ( NHL ) .,The following is a list of articles of ice hockey players who have won the Calder Memorial Trophy in the NHL .
"The first champion was Booker T. He awarded himself the championship on the October 23 , 2008 episode of `` Impact ! `` .","The inaugural champion was Booker T , who awarded the championship to himself on the October 23 , 2008 , episode of `` Impact ! `` ."
"After a costly four-day battle , in which neither side gained a clear advantage , both sides claimed victory .","After an extremely costly four-day battle , in which neither side gained a substantial advantage , both sides claimed victory ."
He played for the first time against Newcastle United on 28 January 2009 .,He made his debut for the club against Newcastle United on 28 January 2009 .
"The Quebec Major Junior Hockey League ( French : `` la Ligue de hockey junior majeur du Québec '' , shortened as `` QMJHL '' in English , `` LHJMQ '' in French ) is one of the three major junior ice hockey leagues which make up the Canadian Hockey League .","The Quebec Major Junior Hockey League ( French : `` Ligue de hockey junior majeur du Québec '' , abbreviated `` QMJHL '' in English , `` LHJMQ '' in French ) is one of the three major junior ice hockey leagues which constitute the Canadian Hockey League ."
These categories are further broken down which vary from sport to sport .,"These categories are further broken down into classifications , which vary from sport to sport ."
His collegiate first complete throw went to Xavier Carter for a 67-yard touchdown against Mississippi State .,His collegiate first completion went to Xavier Carter for a 67-yard touchdown against Mississippi State .
"In the 2010 Vancouver Winter Olympics , the duo won the gold metal in the ice dancing competition ; which was not only a first for them , but also for the country of Canada .","At the 2014 Winter Olympics , they won silver medals in ice dancing and in the team event ."
The statistics listed include the 2006–07 NHL season and the 2006–07 NHL playoffs Active goalies ( as of September 2007 ) are listed in boldface .,Active skaters ( during 2014–15 NHL season ) are listed in boldface .
"The Hockey Hall of Fame ( ) is in Toronto , Ontario , Canada .","The Hockey Hall of Fame is located in Toronto , Ontario , Canada ."
"He was a member of the the Celta Vigo athletics club , then joined the Gymnastic Society of Pontevedra athletic club , before leaving the club to join the Alejandro Gomez Athletics Club .",before leaving the club to join the Alejandro Gomez Athletics Club .
"Abdo competed for Canada at the 1984 Summer Olympics in Los Angeles , California .","Competed for Canada at the 1984 Summer Olympics in Los Angeles , California ."
"Brian Elliott ( born April 9 , 1985 in Newmarket , Ontario ) is a Canadian professional ice hockey goaltender that currently plays for the Colorado Avalanche of the National Hockey League ( NHL ) .","Brian Elliott ( born April 9 , 1985 ) is a Canadian professional ice hockey goaltender currently playing for the St. Louis Blues of the National Hockey League ( NHL ) ."
"Marcus David went pro in MMA on August 22 , 2003 with a first round TKO of Shaun Gay .","Davis entered professional MMA on August 22 , 2003 , with a first-round TKO of Shaun Gay ."
The club was established in 1989 out of IK Tord 's women 's soccer section .,and was established in 1989 out of IK Tord 's women 's soccer section .
Later in the season Hamlin finished 43rd in a race at Atlanta Motor Speedway .,"Later in the 2010 season , Hamlin finished 43rd in the Emory Healthcare 500 at Atlanta Motor Speedway ."
"He finished the year with 104 runs , a .308 batting average , and 24 stolen bases .","He finished the season with 106 runs scored , a batting average of .335 , and 25 stolen bases ."
Alcócer played for Club Union Maestranza and Club Aurora .,"Alcócer played for Club Union Maestranza , Club Wilstermann and Club Aurora ."
He competed in his first match with Stampede Wrestling in Calgary at the age of fifteen in 1995 .,He wrestled his first match in Stampede Wrestling in Calgary at the age of fifteen in 1995 .
"On the April 11 edition of Raw , Lawler defeated Cole 's trainer , Jack Swagger , allowing him to announce that he would team up with his former broadcast partner , Jim Ross , to face Cole and Swagger at Extreme Rules .","On the April 11 episode of `` Raw '' , Lawler defeated Cole 's trainer , Jack Swagger , allowing him to announce that he would team up with his former broadcast partner , Jim Ross , to face Cole and Swagger at Extreme Rules ."
"Today , White Mountain is most known as the last of three rest stops for teams competing in the Iditarod dog sled race .","Today , White Mountain is most notable as the last of three mandatory rest stops for teams competing in the annual Iditarod ."
"Wolfgang Peters ( born 8 January , 1929 ) is a former German football player .",Wolfgang Peters ( 8 January 1929 – 22 September 2003 ) was a German football player .
"The formula used to calculate the final scores is a weighted sum of the votes : Score = 5F + 3S + T , where `` F '' is the number of first place votes , `` S '' is second place votes , and `` T '' is third place votes .",The formula used to calculate the final scores is a weighted sum of the votes .
"On the December 26 episode of `` Raw '' , Punk was defeated in a gauntlet match by Dolph Ziggler which made Ziggler become the number one contender for the WWE Championship .","On the December 26 `` Raw '' , Punk was defeated by Dolph Ziggler in a gauntlet match ; as a result Ziggler became the number one contender to the WWE Championship ."
"William Rodman `` Bill '' Henry ( October 15 , 1927 – April 11 , 2014 ) was an American professional baseball left-handed pitcher .","William Rodman Henry ( October 15 , 1927 – April 11 , 2014 ) was an American professional baseball player ."
"After missing out on promotion in 1987–88 , McCall moved to Everton , for whom he scored twice but finished on the losing side in the 1989 FA Cup Final .","After missing out on promotion in 1987–88 , McCall moved to Everton F.C. , for whom he scored twice but finished on the losing side in the 1989 FA Cup Final ."
"Even though it was an ECW brand pay-per-view , wrestlers from both the `` Raw '' and `` SmackDown ! ''","Despite it being an ECW brand pay-per-view , wrestlers from the Raw and SmackDown !"
Palau national football team is the national football team of Palau .,The Palau national football team is the national football team of Palau .
"SV Mattersburg is an Austrian soccerclub from Mattersburg , Burgenland .","SV Mattersburg is an Austrian association football club from Mattersburg , Burgenland ."
"The teams are the `` Winnipeg Blue Bombers '' who play football , the `` Winnipeg Jets '' who play hockey , the Winnipeg Goldeyes who play baseball and the Winnipeg Alliance FC who play soccer .",The Winnipeg Blue Bombers play in the Canadian Football League .
The club first home was the `` Banana Field '' close to Beitar youth group 's `` nest '' .In the 1950s the club moved to the YMCA Stadium.Later it was shared with Hapoel Jerusalem .,"The club was initially based at the `` Banana Field '' close to Beitar youth group 's `` nest '' , but by the 1950s they had moved to the YMCA Stadium , which was later shared with Hapoel Jerusalem ."
They will play their home games at American Legion Memorial Stadium .,The team 's home games are played at American Legion Memorial Stadium .
The stand also has a traditional players tunnel in the centre .,The stand also incorporates a traditional player ' tunnel in the centre .
"When the 2007–08 NHL season ended , Sundin became the longest serving non-North American born captain in NHL history .","At the end of the 2007–08 season , Sundin had been the longest serving non-North American born captain in NHL history ."
"In 1900 , water polo appeared on the Olympic as the first team sport .",Water polo is a team water sport .
"On July 7 , he struck out 15 Texas Rangers , which matched the Orioles franchise record that was set by Mike Mussina .","On July 7 , Bédard struck out 15 Texas Rangers , matching the Orioles franchise record set by Mike Mussina ."
"On April 1 , 2010 , he was signed by the Philadelphia Flyers but never played in net for Philadelphia during his short visit .","On April 1 , 2010 , Caron was signed by the Philadelphia Flyers ."
Syracuse does not have a baseball team ; Notre Dame takes its place in the Atlantic Division for that sport .,"Syracuse does not field a varsity baseball team , but competes in the Atlantic Division for football ."
"Red Bull Salzburg.In 2009 he played for the second team of Red Bull Salzburg , Red Bull Juniors .","In 2009 he played for the second team of Red Bull Salzburg , Red Bull Juniors ."
"Following the match , King Kong Bundy , accompanied by Jimmy Hart , and Special Delivery Jones made their way to the ring .","Following the match , King Kong Bundy , accompanied by Jimmy Hart and Special Delivery Jones ( Conrad Efraim ) , made their way to the ring ."
Frank Mahovlich • Jean Beliveau • Bernie Geoffrion,Frank Mahovlich • Jean Beliveau • Gordie Howe
"On September 9 , 2007 , he began working with the FOX television network on its NFL pre-game show .","On September 9 , 2007 Barry Switzer joined the FOX NFL Pregame show ."
Marussia Motors ( [ ma´rusja ] ) is a Russian sports car manufacturer which started making cars in 2007 .,Marussia Motors ( ) was a Russian sports car company founded in 2007 .
"Red Bull also sponsors association football teams , with clubs in Austria , Germany , the United States and Brazil featuring the Red Bull trademark in their names .","Red Bull owns association football teams , with clubs in Austria , Germany , the United States and Brazil featuring the Red Bull trademark in their names ."
Halák however did not play a game for the Sabres and was traded along with a third round draft pick to the Washington Capitals for Michal Neuvirth and Rostislav Klesla at the trade deadline .,Halák did not appear in a game for the Sabres and was ultimately dealt along with a third round draft pick to the Washington Capitals in exchange for Michal Neuvirth and Rostislav Klesla at the trade deadline .
"On July 14th 2007 , Younha appeared on the Korean GomTV MSL Grand Finals ( Starcraft tournament ) and played in the opening ceremony .","On July 14 , 2007 , Younha appeared on the Korean GomTV MSL Grand Finals ( a StarCraft tournament ) and performed in the opening ceremony ."
"The team is managed by Christian Horner who is also the boss of the Arden International , which participates to the GP2 Series and to the Formula Renault 3.5 Series .",The team is managed by Christian Horner .
"On January 18 , 2008 , Global Spectrum publicly announced that it wants to hold WrestleMania in 2010 .","On January 18 , 2008 , Global Spectrum publicly announced its intention to host WrestleMania in 2010 ."
It can go slow and simply spin for beginners and run at a more advanced speed for experts or professionals .,It can go slowly and simply spin for beginners and run at greater speed for experts .
"The Denver Nuggets are a team in the National Basketball Association in Denver , Colorado .","The Denver Nuggets are an American professional basketball team based in Denver , Colorado ."
Survivor Series ( 2004 ) was a professional wrestling pay-per-view show made by World Wrestling Entertainment ( WWE ) .,Survivor Series ( 2004 ) was the 18th annual Survivor Series professional wrestling pay-per-view event produced by World Wrestling Entertainment ( WWE ) .
Ando won the 2004-2005 Japanese National Championship ; and she placed first again in 2011 .,"At the Japanese Championships , Ando placed 4th overall ."
"Guy Carbonneau ( born March 18 , 1960 ) is a Canadian retired professional ice hockey player in the National Hockey League ( NHL ) and the former head coach of the Montreal Canadiens from 2006 until being fired on March 9 , 2009 .","Joseph Harry Guy Carbonneau ( born March 18 , 1960 ) is a Canadian retired professional ice hockey player in the National Hockey League ."
"Jan Ullrich ( born on 2 December 1973 in Rostock , Germany ) is a retired German bicycle rider .",Jan Ullrich ( ) ; born 2 December 1973 ) is a German former professional road bicycle racer .
and ECW announced a talent sharing agreement that made it where talent from either brand 's roster can compete on both brands .,and ECW announced a talent sharing agreement that enabled talent from either brand 's roster to compete on both brands .
"Samuel `` Sam '' Lacey ( March 8 , 1948 – March 14 , 2014 ) was an American professional basketball player .","Samuel `` Sam '' Lacey ( March 8 , 1948 – March 14 , 2014 ) was an American basketball player ."
"On February 8 , 2008 , he was traded to the Seattle Mariners in a 5-for-1 deal which sent outfielder Adam Jones and pitchers George Sherrill , Tony Butler , Chris Tillman and Kam Mickolio .","On February 8 , 2008 , Bédard was traded to the Seattle Mariners in a 5-for-1 deal sending outfielder Adam Jones and pitchers George Sherrill , Tony Butler , Chris Tillman and Kam Mickolio to the Orioles ."
Orton would end up winning the match and he became the Intercontinental Champion after he pinned Van Dam following an RKO .,Orton won the match and became the Intercontinental Champion after pinning Van Dam following an RKO .
Iraq has been represented by the National Olympic Committee of Iraq since 1948 .,They have been represented by National Olympic Committee of Iraq since entering .
"( Owens attended Benjamin Russell High School , where he did very well in football , baseball , and basketball . )","Owens attended Benjamin Russell High School , where he excelled in football , baseball , track and basketball ."
In 2011 he was named the PGA Player of the Year and PGA Tour Player of the Year .,He later was voted the PGA Tour Player of the Year .
Horcoff played college hockey at Michigan State University where he drafted by the Edmonton Oilers in the 1998 NHL Draft .,This led to him being drafted by the Edmonton Oilers in the 1998 NHL Entry Draft .
Styles ended up winning the match and became the new X Division Champion .,Styles won the match to retain the championship .
"Vale Park is a football stadium in Burslem , Stoke-on-Trent , England .","Vale Park is a football stadium in Stoke-on-Trent , England ."
He was involved in a real-life backstage fight with Jacques Rougeau and the Bulldogs wrestled their last WWF match at the 1988 Survivor Series .,The Bulldogs wrestled their last WWF match at the 1988 Survivor Series .
"Gianfranco Leoncini ( born 25 September , 1939 ) is a former Italian football player .",Gianfranco Leoncini ( born 25 September 1939 in Rome ) is a retired Italian footballer .
"According to an interview with Balukas by `` New York Woman '' magazine in 1991 , Balukas 's exact words were `` Some world championship ... beat me with skill , not luck '' .","According to an interview with Balukas appearing in `` New York Woman '' magazine in 1991 , Balukas 's exact words were `` Some world championship ... beat me with skill , not luck . ''"
"`` , Batista and Ric Flair beat Edge and Montel Vontavious Porter ( MVP ) .","`` , Batista and Ric Flair defeated Edge and Montel Vontavious Porter ( MVP ) ."
Italian athletes have won 550 medals at the Summer Olympic Games and another 106 medals at the Winter Olympic Games .,Italy has competed at all the modern Olympic Games .
He fell to NJPW wrestler Shinjiro Ohtani in the match but WCW went on to win the series .,"He lost to Shinjiro Otani in the match , but WCW went on to win the series ."
Catch and release fishing is done by more and more recreational fishermen .,Catch and release fishing is increasingly practiced by recreational fishermen .
LeBlanc played 1 game in the National Hockey League ( NHL ) .,He was never drafted in the National Hockey League .
"The Hamilton arena said the Wanderers could play there , but instead Lichtenhein shut down the team on January 4 , after the other clubs refused to give him any more players .","The Hamilton arena offered to provide a home for the Wanderers , but Lichtenhein disbanded the team on January 4 , after the other clubs refused to give him any players ."
"Carina Görlin , born 17 February 1963 in Borlänge , Sweden , is a Swedish former cross country skier .","Carina Görlin , born 17 February 1963 in Borlänge , Sweden , is a Swedish former cross country skier who competed from 1991 to 1994 ."
The 1974 FIFA World Cup was the 10th FIFA World Cup and it was held in West Germany ( including West Berlin ) from 13 June to 7 July .,"The 1974 FIFA World Cup , the tenth staging of the World Cup , was held in West Germany ( including West Berlin ) from 13 June to 7 July ."
"On June 2 , 2008 , he signed a multi-year entry-level contract with Ottawa Senators and was assigned to their AHL-affiliate , the Binghamton Senators .","On July 5 , 2013 he signed a one-year deal with the New York Islanders ."
"Alexander George `` Alex '' Karras ( July 15 , 1935 – October 10 , 2012 ) was an American football player , wrestler , movie , television , stage , voice actor , and writer who is known for his role as George Papadapolis in the television series `` Webster '' .","Alexander George `` Alex '' Karras ( July 15 , 1935 – October 10 , 2012 ) was an American football player , professional wrestler , and actor ."
"A regatta is a term used to describe either a boat race , or series of boat races .",A regatta is a series of boat races .
He was drafted with the 5th overall pick by the New York Islanders in the 1997 NHL Entry Draft .,He was drafted fifth overall by the New York Islanders in June 1997 .
"Leon Allen White ( born May 14 , 1957 in Lynwood , California ) is a retired American professional wrestler .","Leon White ( born May 14 , 1955 ) is a former American football center ."
"Althea Louise Brough Clapp ( March 11 , 1923 – February 3 , 2014 ) was an American tennis player , once ranked world no .","Althea Louise Brough Clapp ( March 11 , 1923 – February 3 , 2014 ) was an American tennis player ."
They play their home games in Oriel Park .,Home games are played in Oriel Park .
During the late 1920s she competed for Järla IF During the 1930s she competed for Hietaniemi SK .,During the late 1920s she competed for Järla IF and during the 1930s she competed for Hietaniemi SK .
"In the 1967–68 season , Olmstead served as coach of the expansion Oakland Seals .","In the 1967–68 season , Olmstead coached the expansion Oakland Seals , in the NHL ."
"In 1970 , at the age of 15 , Rose won the Australian amateur flyweight title .",In 1970 he won the Australian Amateur Flyweight title
"( German Cyclists ' Federation ) and the company Upsolut founded the Deutschland Tour `` gmbh '' ( Ltd ) 1999 the `` Deutschlandtour '' restarted , but has not been run since 2008 because of a lack of interest from TV sponsors .",and the company Upsolut founded the Deutschland Tour gmbh .
"The reason for the name of the ground is that when founded , the club played both football and rugby .","The etymology of the ground is that when founded , the club played both football and rugby ."
"His team finished third after they played Greece and , won 2-0 .","His team finished third after they played Argentina and , won 1-0 ."
"After winning the 2006 Italian Grand Prix , Michael Schumacher announced his retirement from Formula 1 .","After winning the 2006 Italian Grand Prix , Michael Schumacher announced his retirement from Formula 1 racing at the end of the 2006 season ."
The club won both the Småland women 's and girls ' district championship in 1999 .,"In 1999 , the club won both the Småland women 's and girls ' district championship ."
On 1 June 2011 Schalke and Bayern Munich announced that Neuer would move to Bayern Munich in July 2011 .,"On 1 June 2011 , Schalke and Bayern Munich confirmed that Neuer would move to Bayern Munich in July 2011 ."
"Johnny Mowers ( October 29 , 1916 in Niagara Falls , Ontario , Canada - December 7 , 1995 ) was an ice hockey goaltender who played for the Detroit Red Wings , winning the Vezina Trophy in 1943 .","John Thomas `` Mum '' Mowers ( October 29 , 1916 - December 7 , 1995 ) was a Canadian ice hockey goaltender who played for the Detroit Red Wings ."
He has a physical disability : He has cerebral palsy and is a BC1 type athlete .,He has a physical disability : he has cerebral palsy and is a BC1 type athlete .
The Calder Memorial Trophy is a yearly award given `` to the player selected as the most proficient in his first year of competition in the National Hockey League . '',The Calder Memorial Trophy is an annual award given `` to the player selected as the most proficient in his first year of competition in the National Hockey League ( NHL ) . ''
The single-tiered Geoffrey Watling City Stand was built following a severe fire on 25 October 1984 .,The single-tiered Geoffrey Watling City Stand was built following a severe fire in its ageing predecessor on 25 October 1984 .
"As of 2007 , a maximum of two builders can be added in one year .","As of 2007 , a maximum of one on-ice official can be inducted in one year ."
The Paralympics have grown from a small gathering of British World War II veterans in 1948 to become one of the largest international sport events by the early 21st century .,The Paralympics has grown from a small gathering of British World War II veterans in 1948 to become one of the largest international sporting events by the early 21st century .
He exercised an escape clause in his contract before he went to a game against Södertälje SK where he was supposed to be a healthy scratch for them .,He struggled with HV71 and exercised an escape clause in his contract before a game against Södertälje SK where he was scheduled to be a healthy scratch .
"The second was all right and Senna led from Prost , Alesi , Berger , Patrese and Boutsen .","Senna was ahead of Prost , Berger , Mansell , Patrese and Alesi ."
He retired from professional wrestling in 2006 to compete in both mixed martial arts and kickboxing and then become a hair stylist .,Haire retired from professional wrestling soon after in order to focus on mixed martial arts .
Chevrier also play college hockey with the Miami University RedHawks and was the first RedHawk to play in the NHL .,"Chevrier played college hockey at Miami University , and was Miami 's first player to play in the NHL ."
"He was able to stop all 26 shots that he had faced , and improved to 10-1-3 on the season .","He stopped all 26 shots he faced , and improved to 10–1–3 on the season ."
Ararat Harness Racing Club has regular meetings at its race track in the town .,Ararat Harness Racing Club conducts regular meetings at its racetrack in the town .
Shorter pitches and smaller goals are used by under-12s an under 10s .,Shorter pitches and smaller goals are used by youth teams .
"The thirty teams played 82 games in a new format that increased divisional games from 5 to 6 per team ( 30 total ) , conference games from 3 to 4 ( 32 total ) , and decreased inter-conference games to at least one per team , with three extra games ( 18 in total ) .","The 30 teams played 82 games in a revamped format that increased divisional games from five to six per team ( 24 total ) , conference games from three to four ( 40 total ) , and decreased inter-conference games to at least one per team , with three extra games ( 18 in total ) ."
Below is the list of Wikipedia articles about American football players who have played for the `` Cincinnati Bengals '' of the National Football League .,This category is all NFL players who played for the Cincinnati Bengals .
"West Indies won a second consecutive World Cup tournament , defeating the hosts , England , by 92 runs in the final .","West Indies again won the World Cup tournament , defeating England by 92 runs ."
"Whisenhunt had also interviewed for the head coaching position with the Steelers , Atlanta Falcons and Miami Dolphins .",Whisenhunt had also interviewed for the head coaching position with the Detroit Lions and Cleveland Browns .
"There was a benefit game that was held for Laviolette at the Mount Royal Arena in 1921 , which Laviolette was the guest of honour and also refereed .","He was the guest of honour , and also refereed ."
It was formed in 2006 and recognized by the International Olympic Committee in 2007 .,It was created in 2006 and recognized by the International Olympic Committee in 2007 .
"At the start , Berger raced past Prost while Alesi jumped by both the Ferraris .","At the start , Berger got past Mansell while Prost lost out as well ."
"Straight pool is well known in the United States , Europe , Japan and the Philippines , but the game has become more obscure elsewhere .","The game remains well known in the United States , Europe , Argentina and Japan , but is more obscure elsewhere ."
McEver was elected to the College Football Hall of Fame in 1954 .,He was elected to the College Football Hall of Fame as a player in 1954 .
After the end of his contract on 30 June 2011 he left Werder Bremen and signed for Red Bull Salzburg in the Austrian Bundesliga .,"After the end of his contract on 30 June 2011 he left Werder Bremen , and signed for Red Bull Salzburg ."
He also won the 2012 Global League and the 2013 Global Tag League tournaments .,He was also the winner of the 2012 Global League and the 2013 Global Tag League tournaments .
